POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;ATTIVA_IMMESSA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;REATTIVA_INDUTTIVA_IMMESSA;CONSUMO_REATTIVA_CAPACITIVA_PRELEVATA;REATTIVA_CAPACITIVA_IMMESSA;POTENZA_MASSIMA;TIPO_DATO;
IT012E00107977;20231004;000000;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;001500;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;003000;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;004500;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;010000;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;011500;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;013000;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;014500;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;020000;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;021500;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;023000;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;024500;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;030000;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;031500;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;033000;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;034500;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;040000;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;041500;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;043000;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;044500;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;050000;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;051500;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;053000;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;054500;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;060000;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;061500;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;063000;+02;0,0;;0,0;;;;;E;
IT012E00107977;20231004;064500;+02;0,0;;0,0;;;;;E;
